n_cal,x_test,p_true,ambiguity,mean_mid,sd_mid_across_resamples,mean_width,abs_error
50,-0.8781302170283807,0.10409879799137442,0.18652447649625087,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38756786867529214
50,-0.8714524207011687,0.1042654645982409,0.18678835498070775,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38740120206842565
50,-0.8647746243739565,0.10443887045813448,0.18706278559112696,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38722779620853204
50,-0.8580968280467445,0.10461928494178684,0.1873481803201121,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3870473817248797
50,-0.8514190317195325,0.10480698792694741,0.18764496641725623,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3868596787397191
50,-0.8447412353923205,0.10500227018662664,0.1879535868845626,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3866643964800399
50,-0.8380634390651085,0.10520543378987192,0.1882745009819136,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3864612328767946
50,-0.8313856427378965,0.10541679251532347,0.18860818474220944,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38624987415134304
50,-0.8247078464106845,0.10563667227778645,0.188955131495724,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3860299943888801
50,-0.8180300500834725,0.10586541156804381,0.189315852403145,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38580125509862273
50,-0.8113522537562603,0.10610336190611985,0.18969087699667764,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3855633047605467
50,-0.8046744574290483,0.10635088830818744,0.19008075372849376,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3853157783584791
50,-0.7979966611018363,0.10660836976729286,0.19048605052570605,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38505829689937365
50,-0.7913188647746243,0.10687619974805034,0.19090735535093037,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3847904669186162
50,-0.7846410684474123,0.10715478669543294,0.1913452767673784,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3845118799712336
50,-0.7779632721202003,0.10744455455775889,0.19180044450728734,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38422211210890767
50,-0.7712854757929883,0.10774594332394037,0.1922735100423492,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38392072334272614
50,-0.7646076794657763,0.10805940957502638,0.19276514715464615,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3836072570916401
50,-0.7579298831385641,0.10838542705003201,0.1932760525064284,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3832812396166345
50,-0.7512520868113521,0.10872448722600245,0.19380694620689054,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3829421794406641
50,-0.7445742904841401,0.10907709991221137,0.19435857237390566,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38258956675445516
50,-0.7378964941569282,0.1094437938583397,0.1949316996884659,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38222287280832684
50,-0.7312186978297162,0.10982511737642169,0.1955271219393538,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38184154929024483
50,-0.7245409015025042,0.11022163897627996,0.19614565855532512,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3814450276903866
50,-0.7178631051752922,0.11063394801410034,0.19678815512182737,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38103271865256616
50,-0.7111853088480802,0.11106265535371887,0.19745548387899986,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38060401131294763
50,-0.7045075125208682,0.11150839404010852,0.19814854419740885,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.380158272626558
50,-0.697829716193656,0.11197181998446049,0.19886826302765612,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.37969484668220604
50,-0.691151919866444,0.11245361266015377,0.19961559531966777,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.37921305400651273
50,-0.684474123539232,0.11295447580879814,0.20039152440711555,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3787121908578684
